"MDR","Region","Type","Category","Month","N_Merchant","N_EDC","A_Merchant","A_EDC","Tranasaction","Value","Inactive_Terminal","Active_Terminal"
247484.351345338,"Region1","retail","Retail Store","January",2,15,1,0,11180,1061788,174,1705
237781.827780418,"Region1","retail","Retail Store","February",1,5,0,5,18330,1431119,146,1254
151855.236850679,"Region1","retail","Retail Store","March",1,4,0,0,19905,1199920,127,1403
219328.756281175,"Region1","retail","Retail Store","April",2,10,0,1,19018,1710492,128,1656
351261.881459504,"Region1","retail","Retail Store","May",1,6,0,0,16915,1783340,126,1727
353586.930176243,"Region1","retail","Retail Store","June",1,6,0,0,16779,1967699,192,1748
351024.336367846,"Region1","retail","Retail Store","July",2,9,0,0,14877,1338588,153,1721
317141.46300219,"Region1","retail","Retail Store","August",0,0,0,4,13946,1244655,105,1008
159171.246923506,"Region1","retail","Retail Store","September",1,6,0,0,19230,1624708,185,1840
106344.101508148,"Region1","retail","Retail Store","October",1,4,0,5,15962,1206736,161,1373
162632.773653604,"Region1","retail","Retail Store","November",1,3,0,0,12933,1274004,178,1134
101243.0828996,"Region1","retail","Kirana Store","January",1,4,1,3,12713,1513963,150,1998
153437.078557909,"Region1","retail","Kirana Store","February",2,8,1,3,17615,1273038,144,1912
164657.82574378,"Region1","retail","Kirana Store","March",1,4,0,0,14803,1614628,109,1815
166862.280596979,"Region1","retail","Kirana Store","April",1,7,0,0,14800,1105168,181,1611
104050.76390598,"Region1","retail","Kirana Store","May",1,4,0,3,12792,1237556,196,1632
226600.572350435,"Region1","retail","Kirana Store","June",1,7,0,0,14858,1625831,158,1173
288109.867763706,"Region1","retail","Kirana Store","July",2,11,0,0,15653,1943511,117,1400
382945.164199919,"Region1","retail","Kirana Store","August",2,15,1,4,13258,1707168,137,1055
128425.419423729,"Region1","retail","Kirana Store","September",1,5,0,5,19124,1753486,100,1985
342295.482335612,"Region1","retail","Kirana Store","October",1,8,0,2,17549,1059651,179,1558
206112.444540486,"Region1","retail","Kirana Store","November",1,4,1,0,13255,1699787,196,1237
145612.532272935,"Region1","retail","Hotels","January",1,6,0,0,13792,1337081,188,1676
211282.234149985,"Region1","retail","Hotels","February",1,5,1,0,18164,1353154,171,1581
355919.622769579,"Region1","retail","Hotels","March",1,7,1,0,16715,1184254,136,1666
263654.719572514,"Region1","retail","Hotels","April",2,12,0,0,18230,1800832,162,1130
363667.369657196,"Region1","retail","Hotels","May",2,13,0,1,11723,1867913,194,1020
355751.657742076,"Region1","retail","Hotels","June",1,7,1,0,17191,1658877,182,1608
261677.608895116,"Region1","retail","Hotels","July",2,8,0,0,17795,1183928,194,1323
236992.084933445,"Region1","retail","Hotels","August",1,6,0,0,13534,1404918,116,1583
113581.995246932,"Region1","retail","Hotels","September",1,4,0,5,19305,1097360,141,1220
111130.626918748,"Region1","retail","Hotels","October",1,4,1,4,19209,1657249,119,1449
106735.399132594,"Region1","retail","Hotels","November",1,7,0,0,14857,1073441,136,1856
335323.549667373,"Region1","retail","Restaurants","January",1,7,0,0,13372,1776049,134,1138
362111.804448068,"Region1","retail","Restaurants","February",1,3,0,0,11234,1526430,130,1684
287523.10317941,"Region1","retail","Restaurants","March",2,9,0,5,15676,1541313,170,1459
164129.995787516,"Region1","retail","Restaurants","April",1,6,0,0,14721,1327663,166,1550
110356.580791995,"Region1","retail","Restaurants","May",2,13,0,0,15631,1870624,122,1728
139638.243336231,"Region1","retail","Restaurants","June",1,3,0,0,16409,1229699,105,1447
322213.99389673,"Region1","retail","Restaurants","July",0,0,1,0,15975,1560162,122,1685
350494.038430043,"Region1","retail","Restaurants","August",1,6,0,4,19726,1197634,190,1250
191756.049101241,"Region1","retail","Restaurants","September",0,0,0,4,11406,1516006,189,1989
125148.404506035,"Region1","retail","Restaurants","October",2,10,0,0,16605,1398505,146,1244
318213.128857315,"Region1","retail","Restaurants","November",1,8,0,3,12858,1911321,149,1298
383654.369460419,"Region1","retail","Airline","January",2,7,1,0,10983,1674326,145,1596
189464.969513938,"Region1","retail","Airline","February",1,4,0,1,17605,1272792,106,1187
305784.198991023,"Region1","retail","Airline","March",0,0,0,1,11077,1072279,146,1802
319117.932184599,"Region1","retail","Airline","April",2,8,1,0,17995,1752708,168,1579
184195.909672417,"Region1","retail","Airline","May",1,5,0,4,19192,1823014,136,1228
247744.498308748,"Region1","retail","Airline","June",1,4,0,0,11044,1639144,125,1949
297566.881263629,"Region1","retail","Airline","July",1,5,0,2,11957,1026477,145,1571
155275.735422038,"Region1","retail","Airline","August",0,0,1,4,11334,1212572,103,1291
175221.528322436,"Region1","retail","Airline","September",2,12,1,3,17403,1115301,121,1854
288605.544669554,"Region1","retail","Airline","October",2,15,1,0,10800,1748804,118,1918
183694.216934964,"Region1","retail","Airline","November",1,7,0,0,13674,1261846,163,1938
389545.216201805,"Region1","retail","Hardware Store","January",1,6,0,0,14292,1968265,136,1430
220044.824364595,"Region1","retail","Hardware Store","February",1,6,1,4,16922,1091531,167,1300
370009.918417782,"Region1","retail","Hardware Store","March",1,4,0,3,12445,1572988,176,1071
385560.106206685,"Region1","retail","Hardware Store","April",0,0,0,0,18280,1707280,129,1616
255347.351497039,"Region1","retail","Hardware Store","May",2,13,0,0,14269,1418006,173,1273
183529.271418229,"Region1","retail","Hardware Store","June",0,0,0,0,15971,1699822,194,1471
148281.796486117,"Region1","retail","Hardware Store","July",2,10,0,0,18882,1459630,101,1069
206220.880802721,"Region1","retail","Hardware Store","August",0,0,0,0,12479,1605108,120,1019
257466.340693645,"Region1","retail","Hardware Store","September",1,7,0,0,18300,1649544,171,1855
143477.778811939,"Region1","retail","Hardware Store","October",1,7,1,3,15574,1690380,161,1951
141604.88746129,"Region1","retail","Hardware Store","November",2,11,1,1,19909,1185192,127,1433
267183.305439539,"Region1","retail","Computer Store","January",2,13,0,4,19038,1643604,186,1718
373163.01423125,"Region1","retail","Computer Store","February",2,11,0,0,14180,1089167,135,1166
171822.655550204,"Region1","retail","Computer Store","March",0,0,0,0,14576,1453656,191,1593
302021.645917557,"Region1","retail","Computer Store","April",0,0,0,0,19147,1810506,116,1625
142470.779200085,"Region1","retail","Computer Store","May",0,0,0,0,13977,1148406,145,1826
326366.380066611,"Region1","retail","Computer Store","June",1,4,0,3,11875,1680890,184,1894
385150.40052589,"Region1","retail","Computer Store","July",1,7,0,3,16498,1260787,131,1680
216224.976792,"Region1","retail","Computer Store","August",2,13,1,0,12878,1214726,155,1600
373342.616972513,"Region1","retail","Computer Store","September",2,13,1,3,10840,1816205,197,1303
112563.498318195,"Region1","retail","Computer Store","October",1,8,0,0,10860,1287502,196,1418
120971.037261188,"Region1","retail","Computer Store","November",2,13,0,1,19695,1235805,107,1728
386879.19920776,"Region1","retail","Gaming Zone","January",2,7,0,0,15597,1866521,163,1394
320908.438437618,"Region1","retail","Gaming Zone","February",1,3,0,0,16685,1326889,168,1908
136581.498757005,"Region1","retail","Gaming Zone","March",0,0,0,0,19908,1401706,125,1623
234216.768410988,"Region1","retail","Gaming Zone","April",1,7,0,0,14100,1788508,111,1830
289135.398785584,"Region1","retail","Gaming Zone","May",1,4,0,2,13605,1284714,188,1466
341444.611246698,"Region1","retail","Gaming Zone","June",1,7,0,4,19120,1648934,153,1617
302576.869819313,"Region1","retail","Gaming Zone","July",1,7,1,0,16857,1214931,141,1838
186749.686137773,"Region1","retail","Gaming Zone","August",0,0,0,0,16221,1938412,130,1318
359631.02793321,"Region1","retail","Gaming Zone","September",1,3,1,3,18622,1362303,136,1973
197244.279226288,"Region1","retail","Gaming Zone","October",2,13,1,4,15836,1439128,180,1228
288830.306660384,"Region1","retail","Gaming Zone","November",2,10,1,0,19243,1165075,186,1637
128017.994039692,"Region1","retail","Super MArket","January",1,4,1,0,12730,1052992,128,1266
314900.397323072,"Region1","retail","Super MArket","February",1,5,0,4,17100,1621740,124,1218
276622.666302137,"Region1","retail","Super MArket","March",0,0,0,2,16392,1907105,144,1159
340484.353317879,"Region1","retail","Super MArket","April",1,5,1,0,17537,1274737,103,1730
145851.166103967,"Region1","retail","Super MArket","May",0,0,0,0,16791,1743533,142,1698
333494.474226609,"Region1","retail","Super MArket","June",1,6,1,1,12095,1460890,197,1046
382313.124276698,"Region1","retail","Super MArket","July",2,9,0,3,17867,1053170,198,1763
