"Region","Type","Category","Month","month_12","month_4","month_3","month_2","new_inactive","new_active","old_active","old","new","old_inactive","active","inactive","total","sv_10","sv_20","sv_30","svo_10","svo_20","svo_30"
"Region1","retail","Retail Store","January",11,3,3,4,2,14,305,326,16,21,319,23,342,2,5,2,4,4,3
"Region1","retail","Retail Store","February",10,4,3,3,3,10,378,398,13,20,388,23,411,3,3,3,4,3,3
"Region1","retail","Retail Store","March",12,3,2,4,4,14,430,451,18,21,444,25,469,4,4,2,4,5,3
"Region1","retail","Retail Store","April",10,4,3,4,3,14,325,346,17,21,339,24,363,3,5,3,5,4,2
"Region1","retail","Retail Store","May",12,3,3,3,3,14,357,378,17,21,371,24,395,5,3,4,3,3,2
"Region1","retail","Retail Store","June",12,2,3,3,3,14,404,424,17,20,418,23,441,3,3,4,5,3,3
"Region1","retail","Retail Store","July",11,5,3,4,5,11,390,413,16,23,401,28,429,5,4,2,3,2,4
"Region1","retail","Retail Store","August",12,3,5,3,2,11,478,501,13,23,489,25,514,4,2,4,3,2,4
"Region1","retail","Retail Store","September",13,2,3,2,3,10,457,477,13,20,467,23,490,3,3,2,3,2,5
"Region1","retail","Retail Store","October",12,3,3,3,4,10,472,493,14,21,482,25,507,4,2,3,4,3,3
"Region1","retail","Retail Store","November",12,3,4,3,5,15,498,520,20,22,513,27,540,4,2,4,4,4,5
"Region1","retail","Kirana Store","January",10,3,3,4,2,14,316,336,16,20,330,22,352,2,5,4,4,2,4
"Region1","retail","Kirana Store","February",12,4,3,5,4,13,475,499,17,24,488,28,516,2,2,4,5,3,5
"Region1","retail","Kirana Store","March",10,4,3,5,3,14,407,429,17,22,421,25,446,4,2,2,5,2,4
"Region1","retail","Kirana Store","April",11,5,3,3,3,13,470,492,16,22,483,25,508,4,2,3,3,5,2
"Region1","retail","Kirana Store","May",10,2,4,4,2,13,493,513,15,20,506,22,528,3,2,5,4,2,3
"Region1","retail","Kirana Store","June",11,4,3,3,4,15,453,474,19,21,468,25,493,5,2,2,3,2,5
"Region1","retail","Kirana Store","July",12,3,4,5,3,15,404,428,18,24,419,27,446,3,4,2,2,4,3
"Region1","retail","Kirana Store","August",10,4,5,4,3,15,482,505,18,23,497,26,523,3,3,3,2,2,3
"Region1","retail","Kirana Store","September",12,2,2,3,5,14,361,380,19,19,375,24,399,4,4,3,3,4,3
"Region1","retail","Kirana Store","October",12,4,2,5,2,11,317,340,13,23,328,25,353,4,3,4,2,3,3
"Region1","retail","Kirana Store","November",12,4,4,4,5,13,451,475,18,24,464,29,493,3,3,4,2,5,3
"Region1","retail","Hotels","January",10,3,3,5,2,13,497,518,15,21,510,23,533,4,2,2,4,4,3
"Region1","retail","Hotels","February",12,3,3,2,3,15,433,453,18,20,448,23,471,2,3,3,5,4,4
"Region1","retail","Hotels","March",12,2,5,3,2,13,363,385,15,22,376,24,400,4,5,2,5,4,3
"Region1","retail","Hotels","April",11,3,3,3,4,10,377,397,14,20,387,24,411,4,3,3,3,2,4
"Region1","retail","Hotels","May",12,4,4,4,2,15,447,471,17,24,462,26,488,4,5,3,4,5,4
"Region1","retail","Hotels","June",12,4,5,2,5,13,485,508,18,23,498,28,526,2,2,5,4,2,5
"Region1","retail","Hotels","July",11,5,3,3,4,12,412,434,16,22,424,26,450,2,5,5,4,4,3
"Region1","retail","Hotels","August",10,3,3,3,5,14,423,442,19,19,437,24,461,5,3,2,3,3,3
"Region1","retail","Hotels","September",12,3,4,3,4,12,437,459,16,22,449,26,475,4,2,3,2,4,4
"Region1","retail","Hotels","October",12,3,5,3,4,13,418,441,17,23,431,27,458,3,3,4,3,3,5
"Region1","retail","Hotels","November",10,3,3,4,4,13,391,411,17,20,404,24,428,3,4,2,4,2,5
"Region1","retail","Restaurants","January",10,3,4,3,2,13,480,500,15,20,493,22,515,2,5,4,4,2,4
"Region1","retail","Restaurants","February",12,4,3,4,4,13,474,497,17,23,487,27,514,5,3,5,3,4,3
"Region1","retail","Restaurants","March",12,5,3,4,4,15,318,342,19,24,333,28,361,3,5,4,4,3,4
"Region1","retail","Restaurants","April",11,5,2,4,4,13,485,507,17,22,498,26,524,2,4,2,4,3,4
"Region1","retail","Restaurants","May",10,3,4,2,4,13,374,393,17,19,387,23,410,3,4,3,3,4,4
"Region1","retail","Restaurants","June",12,4,5,4,5,15,380,405,20,25,395,30,425,4,5,4,5,3,5
"Region1","retail","Restaurants","July",12,4,4,3,3,10,370,393,13,23,380,26,406,4,2,3,3,4,3
"Region1","retail","Restaurants","August",12,3,2,4,3,14,380,401,17,21,394,24,418,4,4,4,4,4,2
"Region1","retail","Restaurants","September",12,3,2,3,2,12,334,354,14,20,346,22,368,4,3,4,4,5,5
"Region1","retail","Restaurants","October",11,4,3,3,3,14,414,435,17,21,428,24,452,2,4,4,5,2,5
"Region1","retail","Restaurants","November",13,3,3,4,5,14,480,503,19,23,494,28,522,4,3,4,5,4,2
"Region1","retail","Airline","January",12,2,3,5,3,15,382,404,18,22,397,25,422,2,4,2,4,3,3
"Region1","retail","Airline","February",11,2,2,2,3,11,313,330,14,17,324,20,344,2,2,4,4,5,4
"Region1","retail","Airline","March",13,2,3,4,4,11,331,353,15,22,342,26,368,4,4,4,4,4,3
"Region1","retail","Airline","April",12,4,3,2,5,12,304,325,17,21,316,26,342,3,3,3,4,3,5
"Region1","retail","Airline","May",12,4,3,4,5,14,443,466,19,23,457,28,485,5,4,4,4,5,3
"Region1","retail","Airline","June",13,4,4,3,5,15,383,407,20,24,398,29,427,3,5,5,5,4,5
"Region1","retail","Airline","July",13,4,5,2,2,10,336,360,12,24,346,26,372,3,4,3,5,4,4
"Region1","retail","Airline","August",10,4,4,4,3,10,472,494,13,22,482,25,507,4,3,2,5,2,5
"Region1","retail","Airline","September",11,4,3,4,2,12,459,481,14,22,471,24,495,3,5,4,4,2,3
"Region1","retail","Airline","October",13,4,4,2,5,13,359,382,18,23,372,28,400,4,2,4,2,3,5
"Region1","retail","Airline","November",11,4,2,5,2,15,386,408,17,22,401,24,425,3,3,3,2,4,3
"Region1","retail","Hardware Store","January",11,3,5,3,4,13,493,515,17,22,506,26,532,4,4,3,2,5,4
"Region1","retail","Hardware Store","February",13,2,3,5,4,11,390,413,15,23,401,27,428,3,5,3,3,3,3
"Region1","retail","Hardware Store","March",10,3,4,3,4,15,377,397,19,20,392,24,416,3,4,5,3,2,2
"Region1","retail","Hardware Store","April",11,5,5,3,4,13,305,329,17,24,318,28,346,4,2,2,2,5,2
"Region1","retail","Hardware Store","May",11,4,5,4,5,14,403,427,19,24,417,29,446,5,3,3,5,3,4
"Region1","retail","Hardware Store","June",12,4,4,3,2,11,470,493,13,23,481,25,506,3,3,4,3,4,5
"Region1","retail","Hardware Store","July",12,4,5,4,3,12,499,524,15,25,511,28,539,3,5,3,2,4,5
"Region1","retail","Hardware Store","August",12,4,5,3,3,12,363,387,15,24,375,27,402,3,5,4,2,5,3
"Region1","retail","Hardware Store","September",12,3,5,3,2,13,345,368,15,23,358,25,383,4,5,3,3,5,5
"Region1","retail","Hardware Store","October",10,2,2,4,5,10,465,483,15,18,475,23,498,3,4,5,4,3,2
"Region1","retail","Hardware Store","November",12,4,3,4,2,15,426,449,17,23,441,25,466,4,3,5,3,2,3
"Region1","retail","Computer Store","January",12,3,4,3,4,12,349,371,16,22,361,26,387,3,4,4,5,5,2
"Region1","retail","Computer Store","February",13,4,5,3,5,12,406,431,17,25,418,30,448,4,4,3,4,5,4
"Region1","retail","Computer Store","March",13,3,4,2,5,10,361,383,15,22,371,27,398,4,3,3,2,3,3
"Region1","retail","Computer Store","April",13,3,4,5,3,13,363,388,16,25,376,28,404,3,4,2,4,2,5
"Region1","retail","Computer Store","May",10,4,2,3,3,13,483,502,16,19,496,22,518,5,3,4,3,3,3
"Region1","retail","Computer Store","June",11,2,3,3,2,12,402,421,14,19,414,21,435,4,4,4,3,4,5
"Region1","retail","Computer Store","July",10,3,3,4,2,15,381,401,17,20,396,22,418,3,4,5,5,2,4
"Region1","retail","Computer Store","August",11,3,4,2,3,14,449,469,17,20,463,23,486,5,4,4,5,3,2
"Region1","retail","Computer Store","September",11,4,4,5,3,13,499,523,16,24,512,27,539,3,2,4,4,2,4
"Region1","retail","Computer Store","October",12,4,4,5,3,12,356,381,15,25,368,28,396,2,5,2,4,5,2
"Region1","retail","Computer Store","November",10,3,4,4,3,12,484,505,15,21,496,24,520,2,4,4,2,4,3
"Region1","retail","Gaming Zone","January",11,3,2,2,4,15,447,465,19,18,462,22,484,2,3,4,3,4,3
"Region1","retail","Gaming Zone","February",11,4,2,3,3,12,311,331,15,20,323,23,346,3,5,4,4,3,5
"Region1","retail","Gaming Zone","March",11,2,4,4,3,13,335,356,16,21,348,24,372,4,2,4,4,3,4
"Region1","retail","Gaming Zone","April",13,3,2,3,5,13,354,375,18,21,367,26,393,5,2,2,5,3,2
"Region1","retail","Gaming Zone","May",11,3,4,3,2,11,337,358,13,21,348,23,371,4,3,5,5,4,4
"Region1","retail","Gaming Zone","June",10,2,3,3,3,14,458,476,17,18,472,21,493,3,4,4,3,3,2
"Region1","retail","Gaming Zone","July",11,3,2,2,3,12,471,489,15,18,483,21,504,3,2,2,4,3,4
"Region1","retail","Gaming Zone","August",12,2,2,4,3,14,335,355,17,20,349,23,372,5,3,4,4,4,4
"Region1","retail","Gaming Zone","September",13,5,4,2,5,12,438,462,17,24,450,29,479,4,2,5,4,3,4
"Region1","retail","Gaming Zone","October",12,2,2,5,4,14,372,393,18,21,386,25,411,2,4,5,5,3,4
"Region1","retail","Gaming Zone","November",10,2,4,5,3,14,303,324,17,21,317,24,341,3,3,3,4,3,2
"Region1","retail","Super MArket","January",12,3,4,4,5,13,457,480,18,23,470,28,498,2,4,4,3,4,3
"Region1","retail","Super MArket","February",12,5,2,2,3,11,370,391,14,21,381,24,405,4,4,4,3,3,4
"Region1","retail","Super MArket","March",13,4,4,4,4,13,473,498,17,25,486,29,515,4,2,2,4,3,5
"Region1","retail","Super MArket","April",12,2,3,4,2,10,477,498,12,21,487,23,510,4,3,4,3,3,3
"Region1","retail","Super MArket","May",11,2,4,3,3,12,417,437,15,20,429,23,452,2,4,5,4,3,2
"Region1","retail","Super MArket","June",13,5,4,5,3,10,369,396,13,27,379,30,409,3,2,4,2,3,4
"Region1","retail","Super MArket","July",11,3,3,5,5,14,416,438,19,22,430,27,457,4,3,5,5,5,3
"Region1","retail","Super MArket","August",11,2,3,4,5,13,461,481,18,20,474,25,499,3,4,4,3,4,5
"Region1","retail","Super MArket","September",11,4,4,4,3,14,357,380,17,23,371,26,397,3,3,4,3,5,2
"Region1","retail","Super MArket","October",13,4,4,4,3,14,403,428,17,25,417,28,445,4,3,2,4,3,5
"Region1","retail","Super MArket","November",13,3,3,3,4,13,380,402,17,22,393,26,419,5,3,2,4,4,4
"Region1","retail","Fast Food Centre","January",13,4,4,3,3,14,337,361,17,24,351,27,378,3,2,3,5,3,4
"Region1","retail","Fast Food Centre","February",11,3,4,3,5,12,361,382,17,21,373,26,399,3,5,4,5,3,4
"Region1","retail","Fast Food Centre","March",12,3,5,4,4,13,470,494,17,24,483,28,511,3,3,2,4,5,4
"Region1","retail","Fast Food Centre","April",12,5,3,4,2,13,492,516,15,24,505,26,531,4,3,2,5,4,3
"Region1","retail","Fast Food Centre","May",11,3,4,4,4,12,310,332,16,22,322,26,348,3,5,2,4,2,5
"Region1","retail","Fast Food Centre","June",12,4,5,4,4,12,334,359,16,25,346,29,375,5,2,2,4,2,2
"Region1","retail","Fast Food Centre","July",13,4,2,3,3,14,474,496,17,22,488,25,513,4,3,3,2,4,4
"Region1","retail","Fast Food Centre","August",13,3,4,4,2,11,420,444,13,24,431,26,457,3,2,4,4,4,4
"Region1","retail","Fast Food Centre","September",10,3,5,2,4,12,331,351,16,20,343,24,367,3,3,3,3,4,5
"Region1","retail","Fast Food Centre","October",11,4,2,4,4,12,430,451,16,21,442,25,467,2,4,3,3,3,4
"Region1","retail","Fast Food Centre","November",10,5,3,4,5,11,345,367,16,22,356,27,383,4,5,4,4,4,4
"Region1","holding","Retail Store","January",10,2,4,4,3,11,408,428,14,20,419,23,442,3,4,2,2,4,4
"Region1","holding","Retail Store","February",11,3,5,4,3,10,363,386,13,23,373,26,399,2,3,2,4,3,3
"Region1","holding","Retail Store","March",10,2,4,2,4,12,341,359,16,18,353,22,375,3,3,3,5,2,4
"Region1","holding","Retail Store","April",11,2,4,5,4,12,324,346,16,22,336,26,362,2,4,2,2,4,4
"Region1","holding","Retail Store","May",13,4,5,2,3,14,465,489,17,24,479,27,506,2,3,5,5,2,3
"Region1","holding","Retail Store","June",12,4,4,3,4,14,337,360,18,23,351,27,378,4,4,5,3,3,5
"Region1","holding","Retail Store","July",10,2,4,2,2,12,430,448,14,18,442,20,462,3,3,3,3,2,2
"Region1","holding","Retail Store","August",13,5,3,3,4,12,401,425,16,24,413,28,441,4,4,3,3,4,3
"Region1","holding","Retail Store","September",11,3,2,3,5,11,372,391,16,19,383,24,407,5,5,3,4,5,3
"Region1","holding","Retail Store","October",11,3,2,3,3,15,332,351,18,19,347,22,369,4,4,3,3,2,3
"Region1","holding","Retail Store","November",11,5,4,3,3,10,497,520,13,23,507,26,533,4,5,4,3,2,2
"Region1","holding","Kirana Store","January",13,2,3,4,2,14,429,451,16,22,443,24,467,4,4,5,2,5,5
"Region1","holding","Kirana Store","February",13,3,3,5,4,13,377,401,17,24,390,28,418,5,3,4,4,4,5
"Region1","holding","Kirana Store","March",12,3,4,3,4,14,359,381,18,22,373,26,399,4,2,5,3,3,3
"Region1","holding","Kirana Store","April",13,2,2,3,4,12,431,451,16,20,443,24,467,3,2,3,3,4,3
"Region1","holding","Kirana Store","May",11,5,4,5,3,13,436,461,16,25,449,28,477,5,4,5,3,3,4
"Region1","holding","Kirana Store","June",11,3,5,4,4,11,431,454,15,23,442,27,469,4,4,4,4,4,3
"Region1","holding","Kirana Store","July",11,5,4,4,4,11,355,379,15,24,366,28,394,5,4,3,4,4,2
"Region1","holding","Kirana Store","August",13,2,2,3,5,14,326,346,19,20,340,25,365,4,3,4,5,5,3
"Region1","holding","Kirana Store","September",12,3,3,4,3,15,374,396,18,22,389,25,414,3,5,4,3,3,2
"Region1","holding","Kirana Store","October",11,4,4,4,5,12,473,496,17,23,485,28,513,2,5,5,5,3,4
"Region1","holding","Kirana Store","November",11,4,3,2,5,13,488,508,18,20,501,25,526,5,4,3,4,5,4
"Region1","holding","Hotels","January",12,2,4,4,5,15,330,352,20,22,345,27,372,2,3,3,4,5,5
"Region1","holding","Hotels","February",13,5,4,3,4,13,374,399,17,25,387,29,416,3,3,3,4,4,2
"Region1","holding","Hotels","March",11,5,3,3,4,15,425,447,19,22,440,26,466,3,4,4,4,3,2
"Region1","holding","Hotels","April",11,5,4,2,4,13,437,459,17,22,450,26,476,5,4,3,2,5,4
"Region1","holding","Hotels","May",13,5,4,2,2,11,493,517,13,24,504,26,530,3,2,3,2,3,3
"Region1","holding","Hotels","June",12,4,2,4,4,12,399,421,16,22,411,26,437,4,3,4,2,4,4
"Region1","holding","Hotels","July",12,4,3,4,5,14,425,448,19,23,439,28,467,4,3,3,5,3,3
"Region1","holding","Hotels","August",10,3,4,2,4,14,494,513,18,19,508,23,531,4,3,3,4,3,3
"Region1","holding","Hotels","September",13,5,5,3,5,10,345,371,15,26,355,31,386,2,5,4,3,4,4
"Region1","holding","Hotels","October",12,5,3,4,4,15,414,438,19,24,429,28,457,5,3,3,3,2,4
"Region1","holding","Hotels","November",12,4,2,3,4,11,352,373,15,21,363,25,388,3,4,2,5,3,5
"Region1","holding","Restaurants","January",11,4,4,4,4,11,475,498,15,23,486,27,513,3,5,2,4,3,3
"Region1","holding","Restaurants","February",10,4,3,4,4,12,425,446,16,21,437,25,462,3,3,5,3,3,2
"Region1","holding","Restaurants","March",12,3,3,2,4,15,403,423,19,20,418,24,442,5,3,4,4,4,3
"Region1","holding","Restaurants","April",13,3,5,4,4,15,376,401,19,25,391,29,420,4,3,5,3,4,5
"Region1","holding","Restaurants","May",11,5,3,5,3,13,451,475,16,24,464,27,491,3,5,4,3,3,2
"Region1","holding","Restaurants","June",13,4,4,4,2,13,368,393,15,25,381,27,408,5,2,2,5,4,2
"Region1","holding","Restaurants","July",12,3,3,5,2,12,432,455,14,23,444,25,469,4,2,4,4,3,3
"Region1","holding","Restaurants","August",11,3,3,2,3,11,313,332,14,19,324,22,346,4,3,4,2,3,3
"Region1","holding","Restaurants","September",10,4,5,3,3,12,320,342,15,22,332,25,357,3,3,3,4,3,4
"Region1","holding","Restaurants","October",10,3,4,3,4,13,305,325,17,20,318,24,342,5,4,4,4,2,4
"Region1","holding","Restaurants","November",12,3,2,5,2,10,352,374,12,22,362,24,386,3,4,5,2,4,2
"Region1","holding","Airline","January",12,4,4,5,2,14,497,522,16,25,511,27,538,4,4,2,3,4,3
"Region1","holding","Airline","February",10,3,2,4,3,12,462,481,15,19,474,22,496,4,4,3,3,3,3
"Region1","holding","Airline","March",10,4,4,4,2,14,479,501,16,22,493,24,517,4,4,3,3,2,2
"Region1","holding","Airline","April",12,2,4,2,4,13,413,433,17,20,426,24,450,4,4,3,2,3,3
"Region1","holding","Airline","May",11,3,4,4,5,14,398,420,19,22,412,27,439,3,3,5,3,4,3
"Region1","holding","Airline","June",12,4,4,2,2,11,378,400,13,22,389,24,413,3,2,3,2,4,3
"Region1","holding","Airline","July",12,3,2,3,4,10,343,363,14,20,353,24,377,5,3,4,3,4,3
"Region1","holding","Airline","August",12,4,3,3,5,11,435,457,16,22,446,27,473,2,2,3,2,4,3
"Region1","holding","Airline","September",13,4,3,3,2,11,306,329,13,23,317,25,342,5,5,4,4,3,3
"Region1","holding","Airline","October",11,5,3,4,2,11,323,346,13,23,334,25,359,3,3,4,4,4,5
"Region1","holding","Airline","November",13,4,5,2,3,10,399,423,13,24,409,27,436,4,5,4,3,5,3
"Region1","holding","Hardware Store","January",11,3,3,3,3,15,407,427,18,20,422,23,445,4,5,4,4,2,4
"Region1","holding","Hardware Store","February",11,5,4,3,4,10,331,354,14,23,341,27,368,3,5,5,5,3,5
"Region1","holding","Hardware Store","March",10,3,4,2,2,11,320,339,13,19,331,21,352,3,2,5,5,2,2
"Region1","holding","Hardware Store","April",12,4,2,5,4,10,367,390,14,23,377,27,404,4,3,3,5,3,3
"Region1","holding","Hardware Store","May",11,4,2,4,5,13,422,443,18,21,435,26,461,4,2,2,3,5,5
"Region1","holding","Hardware Store","June",10,3,3,4,4,10,355,375,14,20,365,24,389,2,3,3,2,4,4
"Region1","holding","Hardware Store","July",11,3,2,2,3,15,308,326,18,18,323,21,344,3,2,2,4,5,4
"Region1","holding","Hardware Store","August",11,3,4,3,3,11,422,443,14,21,433,24,457,4,4,4,2,4,2
"Region1","holding","Hardware Store","September",10,3,3,4,4,12,362,382,16,20,374,24,398,3,3,5,5,4,5
"Region1","holding","Hardware Store","October",13,4,4,2,4,14,471,494,18,23,485,27,512,3,3,3,5,3,5
"Region1","holding","Hardware Store","November",12,2,4,4,3,11,380,402,14,22,391,25,416,3,4,2,5,4,2
"Region1","holding","Computer Store","January",13,4,3,3,4,13,483,506,17,23,496,27,523,5,4,4,4,3,3
"Region1","holding","Computer Store","February",13,2,4,4,4,14,451,474,18,23,465,27,492,5,2,3,4,3,2
"Region1","holding","Computer Store","March",13,2,4,4,3,12,495,518,15,23,507,26,533,3,3,4,3,5,5
"Region1","holding","Computer Store","April",11,3,3,2,4,13,365,384,17,19,378,23,401,5,4,4,5,3,4
"Region1","holding","Computer Store","May",10,4,3,4,4,11,335,356,15,21,346,25,371,5,3,4,3,3,4
"Region1","holding","Computer Store","June",13,2,2,3,2,13,456,476,15,20,469,22,491,4,3,4,3,3,3
