"Region","Type","Category","Merchant_ID","Terminal_ID","Swipe_Amount_M1","Swipe_Amount_M2","Inactivity_Band"
"Region1","retail","Retail Store",1031965,50059307,289214.898662874,211896.805524826,"2 Months old Terminal"
"Region1","retail","Retail Store",1014987,50046811,161282.266674098,239725.978727452,"2 Months old Terminal"
"Region1","retail","Retail Store",1041954,50040616,467057.230075588,317028.122267686,"> 12 Months"
"Region1","retail","Retail Store",1077173,50012695,249355.174208991,243547.661497723,"2 Months old Terminal"
"Region1","retail","Retail Store",1027105,50068000,162654.280509567,283000.444807345,"> 12 Months"
"Region1","retail","Retail Store",1070729,50084934,148843.620234635,169324.816744076,"4 - 12  Months Old Terminal"
"Region1","retail","Retail Store",1087152,50053782,288844.052606495,118053.119702032,"New Terminal Inactive"
"Region1","retail","Retail Store",1088988,50019388,114329.84194532,124129.215457011,"New Terminal Inactive"
"Region1","retail","Retail Store",1089789,50073159,68590.0388718583,470967.62345056,"> 12 Months"
"Region1","retail","Retail Store",1054986,50001816,281070.19828842,476742.893981514,"4 - 12  Months Old Terminal"
"Region1","retail","Retail Store",1066382,50084847,119228.281158023,78893.5823955107,"4 - 12  Months Old Terminal"
"Region1","retail","Retail Store",1031431,50038830,491253.861055011,315251.144541427,"4 - 12  Months Old Terminal"
"Region1","retail","Retail Store",1044228,50054350,141354.456511559,486323.237173259,"3 Months Old Terminal"
"Region1","retail","Retail Store",1053494,50029307,272205.286779208,207280.165837845,"3 Months Old Terminal"
"Region1","retail","Retail Store",1060497,50096324,340823.514512507,408616.111343261,"3 Months Old Terminal"
"Region1","retail","Retail Store",1083499,50026116,264489.358686144,59901.0773482732,"> 12 Months"
"Region1","retail","Retail Store",1034586,50059301,63620.7486742642,318577.303198399,"3 Months Old Terminal"
"Region1","retail","Retail Store",1037306,50072539,66712.1468125843,212150.112211239,"4 - 12  Months Old Terminal"
"Region1","retail","Retail Store",1069139,50049586,435766.731817042,197595.253165578,"2 Months old Terminal"
"Region1","retail","Retail Store",1065256,50040565,296067.234253045,180537.760782056,"3 Months Old Terminal"
"Region1","retail","Retail Store",1075572,50096649,252830.593806226,192035.628584446,"4 - 12  Months Old Terminal"
"Region1","retail","Retail Store",1084625,50003279,30392.2421904281,175787.736388156,"4 - 12  Months Old Terminal"
"Region1","retail","Retail Store",1091835,50043850,474517.40511274,182609.021218494,"3 Months Old Terminal"
"Region1","retail","Retail Store",1066634,50060385,107968.440907542,399248.717436334,"4 - 12  Months Old Terminal"
"Region1","retail","Retail Store",1023254,50031622,467330.013408791,19171.5874772053,"3 Months Old Terminal"
